texture_1,area_1,area_2,radius_3,texture_3,perimeter_3,area_3,concavity_3
17.91,585.0,21.47,15.34,22.46,97.19,725.9,0.1564
16.39,553.5,14.66,14.26,22.75,91.99,632.1,0.3308
13.98,656.1,49.45,16.46,18.34,114.1,809.2,0.3219
16.33,516.4,15.75,13.88,22.0,90.81,600.6,0.1764
23.23,573.2,31.24,15.35,29.09,97.58,729.8,0.1049
23.06,933.1,44.41,19.85,31.47,128.2,1218.0,0.1211
15.51,684.5,19.88,16.41,19.31,114.2,808.2,0.3402
17.26,431.9,25.06,13.45,24.49,86.0,562.0,0.1449
13.98,644.2,25.7,15.8,16.93,103.1,749.9,0.1373
18.68,571.0,26.45,15.11,25.63,99.43,701.9,0.1935
17.57,399.8,13.66,13.05,36.32,85.07,521.3,0.1811
15.83,230.9,8.966,9.628,19.62,64.48,284.4,0.2456
18.05,813.0,74.08,19.92,25.27,129.0,1233.0,0.2802
17.52,1068.0,95.77,22.75,22.88,146.4,1600.0,0.3533
20.83,577.9,50.96,17.06,28.14,110.6,897.0,0.2678
24.99,656.4,23.11,16.22,31.73,113.5,808.9,0.404
14.36,566.3,23.56,15.11,19.26,99.7,711.2,0.239
11.89,736.9,44.64,18.79,17.04,125.0,1102.0,0.583
21.37,514.5,41.24,14.4,27.01,91.63,645.8,0.1838
18.57,1152.0,102.5,26.14,28.14,170.1,2145.0,0.3879
17.31,480.1,11.91,14.06,24.34,92.82,607.3,0.2028
19.89,471.3,28.32,13.46,23.07,88.13,551.3,0.1904
21.48,360.5,20.67,11.66,24.77,74.08,412.3,0.0
18.89,396.0,17.49,12.36,26.14,79.29,459.3,0.07529
19.98,1102.0,36.74,19.96,24.3,129.0,1236.0,0.221
22.3,561.0,20.2,15.15,31.82,99.0,698.8,0.2282
15.91,279.6,12.64,10.51,19.16,65.74,335.9,0.07161
16.4,912.7,111.4,22.25,21.4,152.4,1461.0,0.3853
14.83,378.2,12.98,12.68,20.35,80.79,496.7,0.2079
15.69,664.9,28.9,16.46,21.75,103.7,840.8,0.04746
25.44,170.4,11.73,8.678,31.89,54.49,223.6,0.3393
24.81,1104.0,104.9,24.09,33.17,177.4,1651.0,0.7242
16.07,579.1,14.0,14.84,20.21,99.16,670.6,0.1346
26.6,1138.0,69.65,23.72,35.9,159.8,1724.0,0.5754
21.56,1230.0,124.4,25.73,28.64,170.3,2009.0,0.3617
18.16,403.1,22.93,12.68,21.61,82.69,489.8,0.1226
18.9,445.3,18.02,13.64,27.06,86.54,562.6,0.04506
15.34,538.9,22.79,14.77,20.5,97.67,677.3,0.3009
24.69,572.6,19.83,16.89,35.64,113.2,848.7,0.3796
16.58,320.8,7.326,10.83,22.04,71.08,357.4,0.1783
21.94,264.0,17.86,9.845,25.05,62.86,295.8,0.07993
17.12,366.5,12.3,11.69,20.74,76.08,411.1,0.1256
15.15,349.6,21.98,11.54,19.2,73.2,408.3,0.0
18.7,440.6,41.0,16.82,28.12,119.4,888.7,0.6956
20.19,334.2,19.91,11.16,22.75,72.62,374.4,0.1295
17.3,489.9,17.61,13.71,21.1,88.7,574.4,0.102
14.71,372.7,19.08,11.35,16.82,72.01,396.5,0.03938
14.93,372.7,11.68,12.09,20.83,79.73,447.1,0.1553
17.0,477.3,31.16,12.9,20.21,81.76,515.9,0.02237
21.59,656.9,40.09,17.87,30.7,115.7,985.5,0.3587
20.21,680.9,21.84,16.01,28.48,103.9,783.6,0.17
21.38,904.6,102.6,26.46,31.56,177.0,2215.0,0.4695
20.68,798.8,54.18,20.96,31.48,136.8,1315.0,0.4784
16.21,512.2,18.24,13.9,23.64,89.27,597.5,0.1992
21.01,269.4,14.2,10.41,31.56,67.03,330.7,0.09412
20.99,1491.0,156.8,28.19,28.18,195.9,2384.0,0.5807
20.54,538.7,26.07,14.5,28.46,95.29,648.3,0.07698
12.35,363.7,11.09,11.37,14.82,72.42,392.2,0.02884
22.44,466.5,18.04,14.17,31.99,92.74,622.9,0.123
16.7,493.8,28.62,14.45,21.74,93.63,624.1,0.1423
13.66,658.8,37.11,16.76,17.24,108.5,862.0,0.2492
29.97,465.4,35.13,13.45,38.05,85.08,558.9,0.0
18.03,455.3,16.26,13.34,27.87,88.83,547.4,0.162
22.55,629.8,18.54,15.29,34.27,104.3,728.3,0.4234
19.83,705.6,47.14,18.23,24.23,123.5,1025.0,0.5203
21.87,2250.0,128.7,33.12,32.85,220.8,3216.0,0.534
14.23,514.3,14.41,13.72,16.91,87.38,576.0,0.145
14.76,551.7,36.35,16.36,22.35,104.5,830.6,0.135
23.04,1404.0,93.99,29.17,35.59,188.0,2615.0,0.3155
20.7,584.8,23.12,15.05,24.75,99.17,688.6,0.1377
16.21,593.7,20.74,15.11,25.58,96.74,694.4,0.05285
19.66,1274.0,74.85,23.06,23.03,150.2,1657.0,0.2606
